"id","areaHa","areaAcres","elevWestCL","slopeCL","aspectCL","sriCL","tpiCL","twiCL","hliCL","wbdCL","awsCL","precipCL","gddCL","FRID","bAreaDSN","treeCovDI","treeCovDSN","treeCovDSA","openPctDI","openPctDSN","openPctDSA","dstgDvDI","dstgDvDSN","dstgDvDSA","opnSizeDI","opnSizeDSN","opnSizeDSA","devSizeDI","devSizeDSN","devSizeDSA","lrgPctDI","lrgPctDSN","lrgPctDSA","tSizeDvDI","tSizeDvDSN","tSizeDvDSA","lrgSizeDI","lrgSizeDSN","lrgSizeDSA","tSizeDI","tSizeDSN","tSizeDSA","treeQmdDI","treeQmdDSN","treeQmdDSA","stageDSN","stageDSA","sizeDSN","sizeDSA","CompDSN","CompDSA"
1001,163.129999777111,403.102385949231,"lower montane","mixed","mixed","mixed","mixed","mesic","mixed","mixed","high","moderate","moderate",71.75,1.34,-0.27,0,0,-0.92,0,0,1,0,1,-0.37,0,0,-0.97,0,0,-3.19,3,3,0.13,0,0,-0.79,0,0,-0.76,0,0,0.22,0,0,0,0.25,0.6,0.6,9.7,10.95
1002,107.702500472124,266.138263791641,"lower montane","gentle","mixed","mixed","mid slope","mesic","moderate","low","high","moderate","moderate",73.74,0.65,-0.28,0,0,-0.82,0,0,0.62,0,0,0.03,0,0,-0.91,0,0,-4,3,3,-0.17,0,0,-1.33,1,1,-0.35,0,0,0.2,0,0,0,0,0.8,0.8,7.25,7.25
1003,99.8799977665789,246.808468481105,"lower montane","mixed","mixed","mixed","mixed","mesic","mixed","low","mixed","moderate","mixed",69.72,0.47,-0.73,0,0,-1.36,1,1,-0.91,0,0,0.06,0,0,0.19,0,0,-0.66,0,0,-0.97,0,0,0.25,0,0,1.29,0,1,-0.09,0,0,0.25,0.25,0,0.2,3.6,4.6
1004,100.129997430235,247.426230149982,"lower montane","mixed","mixed","mixed","mixed","mesic","mixed","mixed","high","moderate","mixed",67.66,1.06,-0.44,0,0,-0.98,0,0,-0.14,0,0,-0.49,0,0,-0.85,0,0,-5.84,5,5,-0.74,0,0,0.46,0,0,-0.36,0,0,1.29,0,1,0,0,1,1.2,10.3,11.3
1005,71.1974989975019,175.932579897777,"mixed","gentle","mixed","mixed","mid slope","mixed","moderate","low","high","moderate","long",74.21,0.1,-0.55,0,0,-0.86,0,0,1.19,0,1,-0.71,0,0,-1.02,1,1,-1.79,1,1,0,0,0,-1.66,1,1,-0.61,0,0,-0.61,0,0,0.25,0.5,0.4,0.4,3.75,5
1006,83.7024990737143,206.833060336102,"lower montane","mixed","mixed","low","mixed","mesic","mixed","low","high","moderate","moderate",65.28,1.09,-0.95,0,0,-1.82,1,1,-1.5,1,1,0.04,0,0,0.93,0,0,-7.66,5,5,-2.93,3,3,-1.14,1,1,4.05,0,3,0.86,0,0,0.5,0.5,1.8,2.4,16.95,19.95
1007,74.1925004505812,183.333378238409,"lower montane","gentle","mixed","mixed","mixed","mesic","moderate","moderate","moderate","high","moderate",66.12,0.08,0.16,0,0,-0.14,0,0,0.92,0,0,0.41,0,0,-0.53,0,0,-4.82,3,3,0.52,0,0,1.9,0,1,-0.28,0,0,3.25,0,3,0,0,0.6,1.4,3.4,7.4
1008,71.5025002933705,176.686253349933,"lower montane","gentle","mixed","mixed","mid slope","mesic","moderate","low","high","mixed","moderate",75.07,0.74,-0.02,0,0,-0.72,0,0,0.91,0,0,0.25,0,0,-0.64,0,0,-2.73,3,3,0.11,0,0,-1.35,1,1,-0.27,0,0,1.06,0,1,0,0,0.8,1,7.7,8.7
1009,66.0675008949937,163.256098086574,"lower montane","gentle","mixed","moderate","mid slope","mesic","moderate","mixed","moderate","moderate","long",49.39,0.31,-1.06,1,1,-1.35,1,1,-0.11,0,0,-0.43,0,0,-0.67,0,0,-0.62,0,0,-0.31,0,0,0.44,0,0,-0.52,0,0,0.12,0,0,0.25,0.25,0,0,7.8,7.8
1010,66.3049996987279,163.842969505542,"lower montane","gentle","mixed","moderate","mid slope","mesic","moderate","low","high","moderate","long",55.89,0.48,-0.27,0,0,-0.93,0,0,0.34,0,0,-0.04,0,0,-1.21,1,1,-2.96,3,3,-0.24,0,0,-2.44,3,3,-0.81,0,0,-1.22,1,1,0.25,0.25,1.4,1.4,10.65,10.65
